,national_id,main_name,hp,attack,defense,spatk,spdef,speed,ref,count_form
37,27,Alolan Sandshrew,50,75,90,10,35,40,/pokedex/sandshrew,2
38,28,Sandslash,75,100,110,45,55,65,/pokedex/sandslash,2
39,28,Alolan Sandslash,75,100,120,25,65,65,/pokedex/sandslash,2
40,29,Nidoran♀,55,47,52,40,40,41,/pokedex/nidoran-f,1
41,30,Nidorina,70,62,67,55,55,56,/pokedex/nidorina,1
42,31,Nidoqueen,90,92,87,75,85,76,/pokedex/nidoqueen,1
43,32,Nidoran♂,46,57,40,40,40,50,/pokedex/nidoran-m,1
44,33,Nidorino,61,72,57,55,55,65,/pokedex/nidorino,1
45,34,Nidoking,81,102,77,85,75,85,/pokedex/nidoking,1
46,35,Clefairy,70,45,48,60,65,35,/pokedex/clefairy,1
47,36,Clefable,95,70,73,95,90,60,/pokedex/clefable,1
48,37,Vulpix,38,41,40,50,65,65,/pokedex/vulpix,2
49,37,Alolan Vulpix,38,41,40,50,65,65,/pokedex/vulpix,2
50,38,Ninetales,73,76,75,81,100,100,/pokedex/ninetales,2
51,38,Alolan Ninetales,73,67,75,81,100,109,/pokedex/ninetales,2
52,39,Jigglypuff,115,45,20,45,25,20,/pokedex/jigglypuff,1
53,40,Wigglytuff,140,70,45,85,50,45,/pokedex/wigglytuff,1
54,41,Zubat,40,45,35,30,40,55,/pokedex/zubat,1
55,42,Golbat,75,80,70,65,75,90,/pokedex/golbat,1
56,43,Oddish,45,50,55,75,65,30,/pokedex/oddish,1
57,44,Gloom,60,65,70,85,75,40,/pokedex/gloom,1
58,45,Vileplume,75,80,85,110,90,50,/pokedex/vileplume,1
59,46,Paras,35,70,55,45,55,25,/pokedex/paras,1
60,47,Parasect,60,95,80,60,80,30,/pokedex/parasect,1
61,48,Venonat,60,55,50,40,55,45,/pokedex/venonat,1
62,49,Venomoth,70,65,60,90,75,90,/pokedex/venomoth,1
63,50,Diglett,10,55,25,35,45,95,/pokedex/diglett,2
64,50,Alolan Diglett,10,55,30,35,45,90,/pokedex/diglett,2
65,51,Dugtrio,35,100,50,50,70,120,/pokedex/dugtrio,2
66,51,Alolan Dugtrio,35,100,60,50,70,110,/pokedex/dugtrio,2
67,52,Meowth,40,45,35,40,40,90,/pokedex/meowth,3
68,52,Alolan Meowth,40,35,35,50,40,90,/pokedex/meowth,3
69,52,Galarian Meowth,50,65,55,40,40,40,/pokedex/meowth,3
70,53,Persian,65,70,60,65,65,115,/pokedex/persian,2
71,53,Alolan Persian,65,60,60,75,65,115,/pokedex/persian,2
72,54,Psyduck,50,52,48,65,50,55,/pokedex/psyduck,1
73,55,Golduck,80,82,78,95,80,85,/pokedex/golduck,1
74,56,Mankey,40,80,35,35,45,70,/pokedex/mankey,1
75,57,Primeape,65,105,60,60,70,95,/pokedex/primeape,1
76,58,Growlithe,55,70,45,70,50,60,/pokedex/growlithe,2
77,58,Hisuian Growlithe,60,75,45,65,50,55,/pokedex/growlithe,2
78,59,Arcanine,90,110,80,100,80,95,/pokedex/arcanine,2
79,59,Hisuian Arcanine,95,115,80,95,80,90,/pokedex/arcanine,2
80,60,Poliwag,40,50,40,40,40,90,/pokedex/poliwag,1
81,61,Poliwhirl,65,65,65,50,50,90,/pokedex/poliwhirl,1
82,62,Poliwrath,90,95,95,70,90,70,/pokedex/poliwrath,1
83,63,Abra,25,20,15,105,55,90,/pokedex/abra,1
84,64,Kadabra,40,35,30,120,70,105,/pokedex/kadabra,1
85,65,Alakazam,55,50,45,135,95,120,/pokedex/alakazam,2
86,65,Mega Alakazam,55,50,65,175,105,150,/pokedex/alakazam,2
87,66,Machop,70,80,50,35,35,35,/pokedex/machop,1
88,67,Machoke,80,100,70,50,60,45,/pokedex/machoke,1
89,68,Machamp,90,130,80,65,85,55,/pokedex/machamp,1
90,69,Bellsprout,50,75,35,70,30,40,/pokedex/bellsprout,1
91,70,Weepinbell,65,90,50,85,45,55,/pokedex/weepinbell,1
92,71,Victreebel,80,105,65,100,70,70,/pokedex/victreebel,1
93,72,Tentacool,40,40,35,50,100,70,/pokedex/tentacool,1
94,73,Tentacruel,80,70,65,80,120,100,/pokedex/tentacruel,1
95,74,Geodude,40,80,100,30,30,20,/pokedex/geodude,2
96,74,Alolan Geodude,40,80,100,30,30,20,/pokedex/geodude,2
97,75,Graveler,55,95,115,45,45,35,/pokedex/graveler,2
98,75,Alolan Graveler,55,95,115,45,45,35,/pokedex/graveler,2
99,76,Golem,80,120,130,55,65,45,/pokedex/golem,2
100,76,Alolan Golem,80,120,130,55,65,45,/pokedex/golem,2
101,77,Ponyta,50,85,55,65,65,90,/pokedex/ponyta,2
102,77,Galarian Ponyta,50,85,55,65,65,90,/pokedex/ponyta,2
103,78,Rapidash,65,100,70,80,80,105,/pokedex/rapidash,2
104,78,Galarian Rapidash,65,100,70,80,80,105,/pokedex/rapidash,2
105,79,Slowpoke,90,65,65,40,40,15,/pokedex/slowpoke,2
106,79,Galarian Slowpoke,90,65,65,40,40,15,/pokedex/slowpoke,2
107,80,Slowbro,95,75,110,100,80,30,/pokedex/slowbro,3
108,80,Mega Slowbro,95,75,180,130,80,30,/pokedex/slowbro,3
109,80,Galarian Slowbro,95,100,95,100,70,30,/pokedex/slowbro,3
110,81,Magnemite,25,35,70,95,55,45,/pokedex/magnemite,1
111,82,Magneton,50,60,95,120,70,70,/pokedex/magneton,1
112,83,Farfetch'd,52,90,55,58,62,60,/pokedex/farfetchd,2
113,83,Galarian Farfetch'd,52,95,55,58,62,55,/pokedex/farfetchd,2
114,84,Doduo,35,85,45,35,35,75,/pokedex/doduo,1
115,85,Dodrio,60,110,70,60,60,110,/pokedex/dodrio,1
116,86,Seel,65,45,55,45,70,45,/pokedex/seel,1
117,87,Dewgong,90,70,80,70,95,70,/pokedex/dewgong,1
118,88,Grimer,80,80,50,40,50,25,/pokedex/grimer,2
119,88,Alolan Grimer,80,80,50,40,50,25,/pokedex/grimer,2
120,89,Muk,105,105,75,65,100,50,/pokedex/muk,2
121,89,Alolan Muk,105,105,75,65,100,50,/pokedex/muk,2
122,90,Shellder,30,65,100,45,25,40,/pokedex/shellder,1
123,91,Cloyster,50,95,180,85,45,70,/pokedex/cloyster,1
124,92,Gastly,30,35,30,100,35,80,/pokedex/gastly,1
125,93,Haunter,45,50,45,115,55,95,/pokedex/haunter,1
126,94,Gengar,60,65,60,130,75,110,/pokedex/gengar,2
127,94,Mega Gengar,60,65,80,170,95,130,/pokedex/gengar,2
128,95,Onix,35,45,160,30,45,70,/pokedex/onix,1
129,96,Drowzee,60,48,45,43,90,42,/pokedex/drowzee,1
130,97,Hypno,85,73,70,73,115,67,/pokedex/hypno,1
131,98,Krabby,30,105,90,25,25,50,/pokedex/krabby,1
132,99,Kingler,55,130,115,50,50,75,/pokedex/kingler,1
133,100,Voltorb,40,30,50,55,55,100,/pokedex/voltorb,2
134,100,Hisuian Voltorb,40,30,50,55,55,100,/pokedex/voltorb,2
135,101,Electrode,60,50,70,80,80,150,/pokedex/electrode,2
136,101,Hisuian Electrode,60,50,70,80,80,150,/pokedex/electrode,2
137,102,Exeggcute,60,40,80,60,45,40,/pokedex/exeggcute,1
138,103,Exeggutor,95,95,85,125,75,55,/pokedex/exeggutor,2
139,103,Alolan Exeggutor,95,105,85,125,75,45,/pokedex/exeggutor,2
140,104,Cubone,50,50,95,40,50,35,/pokedex/cubone,1
141,105,Marowak,60,80,110,50,80,45,/pokedex/marowak,2
142,105,Alolan Marowak,60,80,110,50,80,45,/pokedex/marowak,2
143,106,Hitmonlee,50,120,53,35,110,87,/pokedex/hitmonlee,1
144,107,Hitmonchan,50,105,79,35,110,76,/pokedex/hitmonchan,1
145,108,Lickitung,90,55,75,60,75,30,/pokedex/lickitung,1
146,109,Koffing,40,65,95,60,45,35,/pokedex/koffing,1
147,110,Weezing,65,90,120,85,70,60,/pokedex/weezing,2
148,110,Galarian Weezing,65,90,120,85,70,60,/pokedex/weezing,2
149,111,Rhyhorn,80,85,95,30,30,25,/pokedex/rhyhorn,1
150,112,Rhydon,105,130,120,45,45,40,/pokedex/rhydon,1
151,113,Chansey,250,5,5,35,105,50,/pokedex/chansey,1
152,114,Tangela,65,55,115,100,40,60,/pokedex/tangela,1
153,115,Kangaskhan,105,95,80,40,80,90,/pokedex/kangaskhan,2
154,115,Mega Kangaskhan,105,125,100,60,100,100,/pokedex/kangaskhan,2
155,116,Horsea,30,40,70,70,25,60,/pokedex/horsea,1
156,117,Seadra,55,65,95,95,45,85,/pokedex/seadra,1
157,118,Goldeen,45,67,60,35,50,63,/pokedex/goldeen,1
158,119,Seaking,80,92,65,65,80,68,/pokedex/seaking,1
159,120,Staryu,30,45,55,70,55,85,/pokedex/staryu,1
160,121,Starmie,60,75,85,100,85,115,/pokedex/starmie,1
161,122,Mr. Mime,40,45,65,100,120,90,/pokedex/mr-mime,2
162,122,Galarian Mr. Mime,50,65,65,90,90,100,/pokedex/mr-mime,2
163,123,Scyther,70,110,80,55,80,105,/pokedex/scyther,1
164,124,Jynx,65,50,35,115,95,95,/pokedex/jynx,1
165,125,Electabuzz,65,83,57,95,85,105,/pokedex/electabuzz,1
166,126,Magmar,65,95,57,100,85,93,/pokedex/magmar,1
167,127,Pinsir,65,125,100,55,70,85,/pokedex/pinsir,2
168,127,Mega Pinsir,65,155,120,65,90,105,/pokedex/pinsir,2
169,128,Tauros,75,100,95,40,70,110,/pokedex/tauros,4
170,128,Combat Breed,75,110,105,30,70,100,/pokedex/tauros,4
171,128,Blaze Breed,75,110,105,30,70,100,/pokedex/tauros,4
172,128,Aqua Breed,75,110,105,30,70,100,/pokedex/tauros,4
173,129,Magikarp,20,10,55,15,20,80,/pokedex/magikarp,1
174,130,Gyarados,95,125,79,60,100,81,/pokedex/gyarados,2
175,130,Mega Gyarados,95,155,109,70,130,81,/pokedex/gyarados,2
176,131,Lapras,130,85,80,85,95,60,/pokedex/lapras,1
177,132,Ditto,48,48,48,48,48,48,/pokedex/ditto,1
178,133,Eevee,55,55,50,45,65,55,/pokedex/eevee,2
179,133,Partner Eevee,65,75,70,65,85,75,/pokedex/eevee,2
180,134,Vaporeon,130,65,60,110,95,65,/pokedex/vaporeon,1
181,135,Jolteon,65,65,60,110,95,130,/pokedex/jolteon,1
182,136,Flareon,65,130,60,95,110,65,/pokedex/flareon,1
183,137,Porygon,65,60,70,85,75,40,/pokedex/porygon,1
184,138,Omanyte,35,40,100,90,55,35,/pokedex/omanyte,1
185,139,Omastar,70,60,125,115,70,55,/pokedex/omastar,1
186,140,Kabuto,30,80,90,55,45,55,/pokedex/kabuto,1
187,141,Kabutops,60,115,105,65,70,80,/pokedex/kabutops,1
188,142,Aerodactyl,80,105,65,60,75,130,/pokedex/aerodactyl,2
189,142,Mega Aerodactyl,80,135,85,70,95,150,/pokedex/aerodactyl,2
190,143,Snorlax,160,110,65,65,110,30,/pokedex/snorlax,1
191,144,Articuno,90,85,100,95,125,85,/pokedex/articuno,2
192,144,Galarian Articuno,90,85,85,125,100,95,/pokedex/articuno,2
193,145,Zapdos,90,90,85,125,90,100,/pokedex/zapdos,2
194,145,Galarian Zapdos,90,125,90,85,90,100,/pokedex/zapdos,2
195,146,Moltres,90,100,90,125,85,90,/pokedex/moltres,2
196,146,Galarian Moltres,90,85,90,100,125,90,/pokedex/moltres,2
197,147,Dratini,41,64,45,50,50,50,/pokedex/dratini,1
198,148,Dragonair,61,84,65,70,70,70,/pokedex/dragonair,1
199,149,Dragonite,91,134,95,100,100,80,/pokedex/dragonite,1
200,150,Mewtwo,106,110,90,154,90,130,/pokedex/mewtwo,3
201,150,Mega Mewtwo X,106,190,100,154,100,130,/pokedex/mewtwo,3
202,150,Mega Mewtwo Y,106,150,70,194,120,140,/pokedex/mewtwo,3
203,151,Mew,100,100,100,100,100,100,/pokedex/mew,1
204,152,Chikorita,45,49,65,49,65,45,/pokedex/chikorita,1
205,153,Bayleef,60,62,80,63,80,60,/pokedex/bayleef,1
206,154,Meganium,80,82,100,83,100,80,/pokedex/meganium,1
207,155,Cyndaquil,39,52,43,60,50,65,/pokedex/cyndaquil,1
208,156,Quilava,58,64,58,80,65,80,/pokedex/quilava,1
209,157,Typhlosion,78,84,78,109,85,100,/pokedex/typhlosion,2
210,157,Hisuian Typhlosion,73,84,78,119,85,95,/pokedex/typhlosion,2
211,158,Totodile,50,65,64,44,48,43,/pokedex/totodile,1
212,159,Croconaw,65,80,80,59,63,58,/pokedex/croconaw,1
213,160,Feraligatr,85,105,100,79,83,78,/pokedex/feraligatr,1
214,161,Sentret,35,46,34,35,45,20,/pokedex/sentret,1
215,162,Furret,85,76,64,45,55,90,/pokedex/furret,1
216,163,Hoothoot,60,30,30,36,56,50,/pokedex/hoothoot,1
217,164,Noctowl,100,50,50,86,96,70,/pokedex/noctowl,1
218,165,Ledyba,40,20,30,40,80,55,/pokedex/ledyba,1
219,166,Ledian,55,35,50,55,110,85,/pokedex/ledian,1
220,167,Spinarak,40,60,40,40,40,30,/pokedex/spinarak,1
221,168,Ariados,70,90,70,60,70,40,/pokedex/ariados,1
222,169,Crobat,85,90,80,70,80,130,/pokedex/crobat,1
223,170,Chinchou,75,38,38,56,56,67,/pokedex/chinchou,1
224,171,Lanturn,125,58,58,76,76,67,/pokedex/lanturn,1
225,172,Pichu,20,40,15,35,35,60,/pokedex/pichu,1
226,173,Cleffa,50,25,28,45,55,15,/pokedex/cleffa,1
227,174,Igglybuff,90,30,15,40,20,15,/pokedex/igglybuff,1
228,175,Togepi,35,20,65,40,65,20,/pokedex/togepi,1
229,176,Togetic,55,40,85,80,105,40,/pokedex/togetic,1
230,177,Natu,40,50,45,70,45,70,/pokedex/natu,1
231,178,Xatu,65,75,70,95,70,95,/pokedex/xatu,1
232,179,Mareep,55,40,40,65,45,35,/pokedex/mareep,1
233,180,Flaaffy,70,55,55,80,60,45,/pokedex/flaaffy,1
234,181,Ampharos,90,75,85,115,90,55,/pokedex/ampharos,2
235,181,Mega Ampharos,90,95,105,165,110,45,/pokedex/ampharos,2
236,182,Bellossom,75,80,95,90,100,50,/pokedex/bellossom,1
237,183,Marill,70,20,50,20,50,40,/pokedex/marill,1
238,184,Azumarill,100,50,80,60,80,50,/pokedex/azumarill,1
239,185,Sudowoodo,70,100,115,30,65,30,/pokedex/sudowoodo,1
240,186,Politoed,90,75,75,90,100,70,/pokedex/politoed,1
241,187,Hoppip,35,35,40,35,55,50,/pokedex/hoppip,1
242,188,Skiploom,55,45,50,45,65,80,/pokedex/skiploom,1
243,189,Jumpluff,75,55,70,55,95,110,/pokedex/jumpluff,1
244,190,Aipom,55,70,55,40,55,85,/pokedex/aipom,1
245,191,Sunkern,30,30,30,30,30,30,/pokedex/sunkern,1
246,192,Sunflora,75,75,55,105,85,30,/pokedex/sunflora,1
247,193,Yanma,65,65,45,75,45,95,/pokedex/yanma,1
248,194,Wooper,55,45,45,25,25,15,/pokedex/wooper,2
249,194,Paldean Wooper,55,45,45,25,25,15,/pokedex/wooper,2
250,195,Quagsire,95,85,85,65,65,35,/pokedex/quagsire,1
251,196,Espeon,65,65,60,130,95,110,/pokedex/espeon,1
252,197,Umbreon,95,65,110,60,130,65,/pokedex/umbreon,1
253,198,Murkrow,60,85,42,85,42,91,/pokedex/murkrow,1
254,199,Slowking,95,75,80,100,110,30,/pokedex/slowking,2
255,199,Galarian Slowking,95,65,80,110,110,30,/pokedex/slowking,2
256,200,Misdreavus,60,60,60,85,85,85,/pokedex/misdreavus,1
257,201,Unown,48,72,48,72,48,48,/pokedex/unown,1
258,202,Wobbuffet,190,33,58,33,58,33,/pokedex/wobbuffet,1
259,203,Girafarig,70,80,65,90,65,85,/pokedex/girafarig,1
260,204,Pineco,50,65,90,35,35,15,/pokedex/pineco,1
261,205,Forretress,75,90,140,60,60,40,/pokedex/forretress,1
262,206,Dunsparce,100,70,70,65,65,45,/pokedex/dunsparce,1
263,207,Gligar,65,75,105,35,65,85,/pokedex/gligar,1
264,208,Steelix,75,85,200,55,65,30,/pokedex/steelix,2
265,208,Mega Steelix,75,125,230,55,95,30,/pokedex/steelix,2
266,209,Snubbull,60,80,50,40,40,30,/pokedex/snubbull,1
267,210,Granbull,90,120,75,60,60,45,/pokedex/granbull,1
268,211,Qwilfish,65,95,85,55,55,85,/pokedex/qwilfish,2
269,211,Hisuian Qwilfish,65,95,85,55,55,85,/pokedex/qwilfish,2
270,212,Scizor,70,130,100,55,80,65,/pokedex/scizor,2
271,212,Mega Scizor,70,150,140,65,100,75,/pokedex/scizor,2
272,213,Shuckle,20,10,230,10,230,5,/pokedex/shuckle,1
273,214,Heracross,80,125,75,40,95,85,/pokedex/heracross,2
274,214,Mega Heracross,80,185,115,40,105,75,/pokedex/heracross,2
275,215,Sneasel,55,95,55,35,75,115,/pokedex/sneasel,2
276,215,Hisuian Sneasel,55,95,55,35,75,115,/pokedex/sneasel,2
277,216,Teddiursa,60,80,50,50,50,40,/pokedex/teddiursa,1
278,217,Ursaring,90,130,75,75,75,55,/pokedex/ursaring,1
279,218,Slugma,40,40,40,70,40,20,/pokedex/slugma,1
280,219,Magcargo,60,50,120,90,80,30,/pokedex/magcargo,1
281,220,Swinub,50,50,40,30,30,50,/pokedex/swinub,1
282,221,Piloswine,100,100,80,60,60,50,/pokedex/piloswine,1
283,222,Corsola,65,55,95,65,95,35,/pokedex/corsola,2
284,222,Galarian Corsola,60,55,100,65,100,30,/pokedex/corsola,2
285,223,Remoraid,35,65,35,65,35,65,/pokedex/remoraid,1
286,224,Octillery,75,105,75,105,75,45,/pokedex/octillery,1
287,225,Delibird,45,55,45,65,45,75,/pokedex/delibird,1
288,226,Mantine,85,40,70,80,140,70,/pokedex/mantine,1
289,227,Skarmory,65,80,140,40,70,70,/pokedex/skarmory,1
290,228,Houndour,45,60,30,80,50,65,/pokedex/houndour,1
291,229,Houndoom,75,90,50,110,80,95,/pokedex/houndoom,2
292,229,Mega Houndoom,75,90,90,140,90,115,/pokedex/houndoom,2
293,230,Kingdra,75,95,95,95,95,85,/pokedex/kingdra,1
294,231,Phanpy,90,60,60,40,40,40,/pokedex/phanpy,1
295,232,Donphan,90,120,120,60,60,50,/pokedex/donphan,1
296,233,Porygon2,85,80,90,105,95,60,/pokedex/porygon2,1
297,234,Stantler,73,95,62,85,65,85,/pokedex/stantler,1
298,235,Smeargle,55,20,35,20,45,75,/pokedex/smeargle,1
299,236,Tyrogue,35,35,35,35,35,35,/pokedex/tyrogue,1
300,237,Hitmontop,50,95,95,35,110,70,/pokedex/hitmontop,1
301,238,Smoochum,45,30,15,85,65,65,/pokedex/smoochum,1
302,239,Elekid,45,63,37,65,55,95,/pokedex/elekid,1
303,240,Magby,45,75,37,70,55,83,/pokedex/magby,1
304,241,Miltank,95,80,105,40,70,100,/pokedex/miltank,1
305,242,Blissey,255,10,10,75,135,55,/pokedex/blissey,1
306,243,Raikou,90,85,75,115,100,115,/pokedex/raikou,1
307,244,Entei,115,115,85,90,75,100,/pokedex/entei,1
308,245,Suicune,100,75,115,90,115,85,/pokedex/suicune,1
309,246,Larvitar,50,64,50,45,50,41,/pokedex/larvitar,1
310,247,Pupitar,70,84,70,65,70,51,/pokedex/pupitar,1
311,248,Tyranitar,100,134,110,95,100,61,/pokedex/tyranitar,2
312,248,Mega Tyranitar,100,164,150,95,120,71,/pokedex/tyranitar,2
313,249,Lugia,106,90,130,90,154,110,/pokedex/lugia,1
314,250,Ho-oh,106,130,90,110,154,90,/pokedex/ho-oh,1
315,251,Celebi,100,100,100,100,100,100,/pokedex/celebi,1
316,252,Treecko,40,45,35,65,55,70,/pokedex/treecko,1
317,253,Grovyle,50,65,45,85,65,95,/pokedex/grovyle,1
318,254,Sceptile,70,85,65,105,85,120,/pokedex/sceptile,2
319,254,Mega Sceptile,70,110,75,145,85,145,/pokedex/sceptile,2
320,255,Torchic,45,60,40,70,50,45,/pokedex/torchic,1
321,256,Combusken,60,85,60,85,60,55,/pokedex/combusken,1
322,257,Blaziken,80,120,70,110,70,80,/pokedex/blaziken,2
323,257,Mega Blaziken,80,160,80,130,80,100,/pokedex/blaziken,2
324,258,Mudkip,50,70,50,50,50,40,/pokedex/mudkip,1
325,259,Marshtomp,70,85,70,60,70,50,/pokedex/marshtomp,1
326,260,Swampert,100,110,90,85,90,60,/pokedex/swampert,2
327,260,Mega Swampert,100,150,110,95,110,70,/pokedex/swampert,2
328,261,Poochyena,35,55,35,30,30,35,/pokedex/poochyena,1
329,262,Mightyena,70,90,70,60,60,70,/pokedex/mightyena,1
330,263,Zigzagoon,38,30,41,30,41,60,/pokedex/zigzagoon,2
331,263,Galarian Zigzagoon,38,30,41,30,41,60,/pokedex/zigzagoon,2
332,264,Linoone,78,70,61,50,61,100,/pokedex/linoone,2
333,264,Galarian Linoone,78,70,61,50,61,100,/pokedex/linoone,2
334,265,Wurmple,45,45,35,20,30,20,/pokedex/wurmple,1
335,266,Silcoon,50,35,55,25,25,15,/pokedex/silcoon,1
336,267,Beautifly,60,70,50,100,50,65,/pokedex/beautifly,1
337,268,Cascoon,50,35,55,25,25,15,/pokedex/cascoon,1
338,269,Dustox,60,50,70,50,90,65,/pokedex/dustox,1
339,270,Lotad,40,30,30,40,50,30,/pokedex/lotad,1
340,271,Lombre,60,50,50,60,70,50,/pokedex/lombre,1
341,272,Ludicolo,80,70,70,90,100,70,/pokedex/ludicolo,1
342,273,Seedot,40,40,50,30,30,30,/pokedex/seedot,1
343,274,Nuzleaf,70,70,40,60,40,60,/pokedex/nuzleaf,1
344,275,Shiftry,90,100,60,90,60,80,/pokedex/shiftry,1
345,276,Taillow,40,55,30,30,30,85,/pokedex/taillow,1
346,277,Swellow,60,85,60,75,50,125,/pokedex/swellow,1
347,278,Wingull,40,30,30,55,30,85,/pokedex/wingull,1
348,279,Pelipper,60,50,100,95,70,65,/pokedex/pelipper,1
349,280,Ralts,28,25,25,45,35,40,/pokedex/ralts,1
350,281,Kirlia,38,35,35,65,55,50,/pokedex/kirlia,1
351,282,Gardevoir,68,65,65,125,115,80,/pokedex/gardevoir,2
352,282,Mega Gardevoir,68,85,65,165,135,100,/pokedex/gardevoir,2
353,283,Surskit,40,30,32,50,52,65,/pokedex/surskit,1
354,284,Masquerain,70,60,62,100,82,80,/pokedex/masquerain,1
355,285,Shroomish,60,40,60,40,60,35,/pokedex/shroomish,1
356,286,Breloom,60,130,80,60,60,70,/pokedex/breloom,1
357,287,Slakoth,60,60,60,35,35,30,/pokedex/slakoth,1
358,288,Vigoroth,80,80,80,55,55,90,/pokedex/vigoroth,1
359,289,Slaking,150,160,100,95,65,100,/pokedex/slaking,1
360,290,Nincada,31,45,90,30,30,40,/pokedex/nincada,1
361,291,Ninjask,61,90,45,50,50,160,/pokedex/ninjask,1
362,292,Shedinja,1,90,45,30,30,40,/pokedex/shedinja,1
363,293,Whismur,64,51,23,51,23,28,/pokedex/whismur,1
364,294,Loudred,84,71,43,71,43,48,/pokedex/loudred,1
365,295,Exploud,104,91,63,91,73,68,/pokedex/exploud,1
366,296,Makuhita,72,60,30,20,30,25,/pokedex/makuhita,1
367,297,Hariyama,144,120,60,40,60,50,/pokedex/hariyama,1
368,298,Azurill,50,20,40,20,40,20,/pokedex/azurill,1
369,299,Nosepass,30,45,135,45,90,30,/pokedex/nosepass,1
370,300,Skitty,50,45,45,35,35,50,/pokedex/skitty,1
371,301,Delcatty,70,65,65,55,55,90,/pokedex/delcatty,1
372,302,Sableye,50,75,75,65,65,50,/pokedex/sableye,2
373,302,Mega Sableye,50,85,125,85,115,20,/pokedex/sableye,2
374,303,Mawile,50,85,85,55,55,50,/pokedex/mawile,2
375,303,Mega Mawile,50,105,125,55,95,50,/pokedex/mawile,2
376,304,Aron,50,70,100,40,40,30,/pokedex/aron,1
377,305,Lairon,60,90,140,50,50,40,/pokedex/lairon,1
378,306,Aggron,70,110,180,60,60,50,/pokedex/aggron,2
379,306,Mega Aggron,70,140,230,60,80,50,/pokedex/aggron,2
380,307,Meditite,30,40,55,40,55,60,/pokedex/meditite,1
381,308,Medicham,60,60,75,60,75,80,/pokedex/medicham,2
382,308,Mega Medicham,60,100,85,80,85,100,/pokedex/medicham,2
383,309,Electrike,40,45,40,65,40,65,/pokedex/electrike,1
384,310,Manectric,70,75,60,105,60,105,/pokedex/manectric,2
385,310,Mega Manectric,70,75,80,135,80,135,/pokedex/manectric,2
386,311,Plusle,60,50,40,85,75,95,/pokedex/plusle,1
387,312,Minun,60,40,50,75,85,95,/pokedex/minun,1
388,313,Volbeat,65,73,75,47,85,85,/pokedex/volbeat,1
389,314,Illumise,65,47,75,73,85,85,/pokedex/illumise,1
390,315,Roselia,50,60,45,100,80,65,/pokedex/roselia,1
391,316,Gulpin,70,43,53,43,53,40,/pokedex/gulpin,1
392,317,Swalot,100,73,83,73,83,55,/pokedex/swalot,1
393,318,Carvanha,45,90,20,65,20,65,/pokedex/carvanha,1
394,319,Sharpedo,70,120,40,95,40,95,/pokedex/sharpedo,2
395,319,Mega Sharpedo,70,140,70,110,65,105,/pokedex/sharpedo,2
